"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
{{#result}}"{{title}}";"{{name}}";"{{unit}}";{{batch}};{{median(elapsed)}};{{medianAbsolutePercentError(elapsed)}};{{median(instructions)}};{{median(branchinstructions)}};{{median(branchmisses)}};{{sumProduct(iterations, elapsed)}}
{{/result}}earches";"random 2 -1";"uint64_t";1;1.90233053039148e-09;0.00291796951431883;0;0;0;0.0121058
"Skip List random searches";"random 3 -1";"uint64_t";1;1.86566738439822e-09;0.000170193802115429;0;0;0;0.0121239
"Skip List random searches";"random 4 -1";"uint64_t";1;1.85723551726171e-09;0.000248528010499403;0;0;0;0.0120267
"Skip List random searches";"random 5 -1";"uint64_t";1;1.91950475716866e-09;0.000355159190821429;0;0;0;0.0124429
"Skip List random searches";"random 6 -1";"uint64_t";1;3.32802511765827e-09;0.00173037440145226;0;0;0;0.0120936
"Skip List random searches";"random 7 -1";"uint64_t";1;3.38911981933499e-09;0.015929525500191;0;0;0;0.0121035
"Skip List random searches";"random 8 -1";"uint64_t";1;3.34291760928264e-09;0.000209979647489742;0;0;0;0.0120393
"Skip List random searches";"random 9 -1";"uint64_t";1;3.33591560459545e-09;0.00324656989597517;0;0;0;0.0120472
"Skip List random searches";"random 10 -1";"uint64_t";1;3.39160152675312e-09;0.00430542266695882;0;0;0;0.0120528
"Skip List random searches";"random 11 -1";"uint64_t";1;3.37670363985297e-09;0.00823434914772763;0;0;0;0.0121994
"Skip List random searches";"random 12 -1";"uint64_t";1;3.96875e-09;0.000638014847844075;0;0;0;0.0121089
"Skip List random searches";"random 13 -1";"uint64_t";1;3.39472846541297e-09;0.00797177926194797;0;0;0;0.0122206
"Skip List random searches";"random 14 -1";"uint64_t";1;3.41925875344369e-09;0.00489148731418216;0;0;0;0.0121751
"Skip List random searches";"random 15 -1";"uint64_t";1;3.36015356601455e-09;0.00191360133763742;0;0;0;0.0120354
"Skip List random searches";"random 16 -1";"uint64_t";1;3.34319765563709e-09;0.00503304014036072;0;0;0;0.0121346
"Skip List random searches";"random 17 -1";"uint64_t";1;3.296044871634e-09;0.00148779525585138;0;0;0;0.0121135
"Skip List random searches";"random 18 -1";"uint64_t";1;3.26306107656042e-09;0.0009635407071555;0;0;0;0.0121139
"Skip List random searches";"random 19 -1";"uint64_t";1;3.36618872566968e-09;0.0038557618277575;0;0;0;0.0120997
"Skip List random searches";"random 20 -1";"uint64_t";1;3.32147161797624e-09;0.00773507949449575;0;0;0;0.0119917
"Skip List random searches";"random 21 -1";"uint64_t";1;3.29934651652866e-09;0.00228313331974997;0;0;0;0.0119759
"Skip List random searches";"random 22 -1";"uint64_t";1;3.26212949163769e-09;0.00051724643743038;0;0;0;0.0120832
"Skip List random searches";"random 23 -1";"uint64_t";1;3.24842827662331e-09;0.0134717965714251;0;0;0;0.0123195
"Skip List random searches";"random 24 -1";"uint64_t";1;3.44962953485397e-09;0.0123784160291261;0;0;0;0.0124818
"Skip List random searches";"random 25 -1";"uint64_t";1;4.07572367882574e-09;0.00230738375460906;0;0;0;0.0120922
"Skip List random searches";"random 26 -1";"uint64_t";1;3.36966803952673e-09;0.00479733456254477;0;0;0;0.01194
"Skip List random searches";"random 27 -1";"uint64_t";1;3.97373795866624e-09;0.00191433589550189;0;0;0;0.0120859
"Skip List random searches";"random 28 -1";"uint64_t";1;3.92943843256365e-09;0.000315409793847392;0;0;0;0.0121146
"Skip List random searches";"random 29 -1";"uint64_t";1;3.26432549649761e-09;0.0058220136861622;0;0;0;0.0121051
"Skip List random searches";"random 30 -1";"uint64_t";1;3.23621384243338e-09;0.00277838203096189;0;0;0;0.0121362
